6BK/8/6pk/3N2p1/6P1/8/8/7r w - - 0 1 | ♚♜♟♟ vs ♔♗♘♙ | w | 1-0
8/8/6p1/7p/7P/8/pk1K4/2R5 w - - 0 1 | ♚♟♟♟ vs ♔♖♙ | w | 1-0
8/8/8/3K4/6p1/1B5k/6R1/8 w - - 0 1 | ♚♟ vs ♔♖♗ | w | 1-0
5kr1/3Kp2p/8/1R4B1/8/8/8/8 w - - 0 1 | ♚♜♟♟ vs ♔♖♗ | w | 1-0
1r5k/8/7K/4N3/B7/8/8/8 w - - 0 1 | ♚♜ vs ♔♗♘ | w | 1-0
8/6kP/8/3b1PK1/8/6N1/8/8 w - - 0 1 | ♚♝ vs ♔♘♙♙ | w | 1-0
3bn3/1k6/4PP2/1K1P4/8/8/8/1B6 w - - 0 1 | ♚♝♞ vs ♔♗♙♙♙ | w | 1-0
5k2/7K/3N4/n2NP3/8/1n6/8/8 w - - 0 1 | ♚♞♞ vs ♔♘♘♙ | w | 1-0
8/8/3K4/4N2P/8/6pk/8/5n2 w - - 0 1 | ♚♞♟ vs ♔♘♙ | w | 1-0
6R1/8/p7/8/1k5r/1Pp4p/P1K5/8 w - - 0 1 | ♚♜♟♟♟ vs ♔♖♙♙ | w | 1-0
7r/4n1R1/7P/8/7k/3N4/7K/8 w - - 0 1 | ♚♜♞ vs ♔♖♘♙ | w | 1-0
8/4q3/2p5/2n2Q2/p5N1/7k/8/1K6 w - - 0 1 | ♚♛♞♟♟ vs ♔♕♘ | w | 1-0
8/6q1/6b1/4p2k/8/3n1P2/Q2B2P1/K7 w - - 0 1 | ♚♛♝♞♟ vs ♔♕♗♙♙ | w | 1-0
k7/2Kp2R1/5P2/8/2b4n/2p5/4p3/n7 w - - 0 1 | ♚♝♞♞♟♟♟ vs ♔♖♙ | w | 1-0
1k1K4/1p6/pP2B3/P4p2/6p1/8/8/8 w - - 0 1 | ♚♟♟♟♟ vs ♔♗♙♙ | w | 1-0
8/2B3p1/7b/7p/7k/2q4P/Q5P1/7K w - - 0 1 | ♚♛♝♟♟ vs ♔♕♗♙♙ | w | 1-0
3KNB1k/7p/8/8/8/8/3n4/8 w - - 0 1 | ♚♞♟ vs ♔♗♘ | w | 1-0
4nk2/7K/3P1p2/3p4/q5N1/8/8/2Q5 w - - 0 1 | ♚♛♞♟♟ vs ♔♕♘♙ | w | 1-0
8/2p5/3prpb1/4k3/4p3/4KP2/4NP2/2R5 w - - 0 1 | ♚♜♝♟♟♟♟ vs ♔♖♘♙♙ | w | 1-0
3N2n1/4p3/3P4/4k3/6K1/8/2B5/8 w - - 0 1 | ♚♞♟ vs ♔♗♘♙ | w | 1-0
