PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
a7ZnK,r2r4/pRQ2pk1/6p1/3pP2p/3P4/5P1q/4KP2/2R5 b - - 1 37,h3e6 c1c6 a8c8 c6e6 c8c7 b7c7,1770,74,93,1885,crushing endgame long pin,https://lichess.org/DLQEtEki/black#74,
a7ZuC,5rk1/p6p/2p1R1p1/3n4/2B2p2/7R/PrP2PPP/6K1 w - - 0 30,e6c6 b2b1 c4f1 d5e3 f2e3 f4e3,2060,76,95,327,crushing endgame long master sacrifice,https://lichess.org/MNUM1H9B#59,
a7Zv2,r3r2k/pp1n1Q2/2p3pp/8/2B5/2P5/PP3PP1/K2R4 w - - 1 27,d1d7 e8e1 d7d1 e1d1,613,95,71,53,backRankMate endgame mate mateIn2 short,https://lichess.org/rtNbZ5KO#53,
a7Zv5,2r3k1/1p3ppp/8/6P1/3P3P/r1B1R3/8/1bK3N1 w - - 0 30,c1b1 a3c3 e3c3 c8c3,1784,74,87,931,crushing endgame short,https://lichess.org/XiIFfF62#59,
a7a2y,1k5r/r1p2p2/1pBq1p2/3P4/7P/P7/1PP1Q2b/1K1R4 b - - 3 37,h8h4 e2e8 d6d8 e8d8,684,95,78,97,mate mateIn2 middlegame short,https://lichess.org/ZOVTzv61/black#74,
a7a4V,4r1k1/R5pp/2q2N2/3b4/5Q2/3PP1P1/P1r4P/5RK1 b - - 0 23,g7f6 f4g4 g8h8 g4g7,1037,81,94,2366,mate mateIn2 middlegame short,https://lichess.org/3BP4STDl/black#46,
a7a4b,8/8/8/5k2/8/3r1NP1/6K1/8 b - - 12 72,f5g4 f3e5 g4f5 e5d3,666,79,100,443,crushing endgame fork short,https://lichess.org/r9P0jYrX/black#144,
a7a8h,5r1k/4r1pp/5q2/pR1Qp3/P1P3P1/3P2K1/4RP2/8 w - - 9 36,f2f3 e5e4 e2f2 e4f3 d5f3 f6d6 g3g2 f8f3,2681,87,89,73,advantage discoveredAttack endgame veryLong,https://lichess.org/QyR27shQ#71,
a7aBy,4r3/1p1q2pk/6p1/3P4/5Q2/P1N1r2P/1P4K1/3R1R2 w - - 2 39,d5d6 d7h3 g2g1 e3g3 f4g3 h3g3,1544,74,94,1767,crushing long middlegame,https://lichess.org/pRuUZBZH#77,
a7aCK,8/8/1pR3pp/p2pk3/P7/1P3rP1/2K2P1P/8 b - - 1 37,f3f6 f2f4 e5f5 g3g4 f5f4 c6f6,1638,75,97,2395,crushing deflection endgame long rookEndgame,https://lichess.org/6RJFCQKO/black#74,
a7aLj,5rk1/p1pn3p/2p2rp1/8/2P5/1P2RbPP/P4KB1/R7 w - - 0 24,e3f3 f6f3 g2f3 d7e5,1108,76,93,758,crushing endgame short,https://lichess.org/dX9SRRNy#47,
a7aMJ,4r1k1/pp3p2/1r4p1/1q1p3p/2pP2P1/N1Pb1P2/PP3QPR/K6R b - - 6 25,e8e2 f2e2 d3e2 a3b5,1535,75,82,424,crushing middlegame short,https://lichess.org/RdRpjpJx/black#50,
a7aP5,1r3r1k/pQ4pp/2n2qp1/4p3/8/P3P1B1/1P3PPP/R4RK1 w - - 1 19,b7c7 f8f7 g3e5 f7c7 e5f6 g7f6,1977,74,88,804,advantage long middlegame trappedPiece,https://lichess.org/qloSUbBR#37,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
a7aSK,r1b1k2r/2qp1pp1/p1p1p3/6Bp/1bP1P1n1/2NB4/PP3PPP/R2Q1RK1 w kq - 2 12,c3e2 c7h2,532,100,97,533,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/uz4LMavw#23,Sicilian_Defense Sicilian_Defense_Kan_Variation
